full_name,hits,homeruns,rbi,runs,stolen_bases,walks,strikeouts,games_played,at_bats,batting_average,on_base_plus_slugging
Tom Norton,0,0,0,0,0,0,0.0,21,0,0.0,0.0
Tom O'Malley,310,13,131,117,2,133,151.0,466,1213,0.25355555555555553,0.6545555555555556
Tom Paciorek,1162,86,503,494,55,245,704.0,1391,4121,0.2831111111111111,0.727611111111111
Tom Pagnozzi,733,44,320,247,18,189,450.0,927,2896,0.23866666666666667,0.6248333333333334
Tom Phoebus,15,0,3,4,0,3,41.0,95,96,0.14933333333333335,0.34600000000000003
Tom Poquette,329,10,136,127,13,81,82.0,452,1226,0.23314285714285712,0.5907142857142856
Tom Prince,248,24,140,113,9,105,252.0,519,1190,0.20447058823529413,0.6078235294117647
Tom Quinlan,9,1,5,8,0,5,26.0,42,58,0.19175,0.5205
Tom Ragland,61,0,14,20,2,13,47.0,103,264,0.20099999999999998,0.4749999999999999
Tom Robson,10,0,4,5,0,5,6.0,23,48,0.21550000000000002,0.568
Tom Romano,0,0,0,1,0,0,1.0,7,3,0.0,0.0
Tom Runnells,8,0,0,4,0,3,6.0,40,46,0.14550000000000002,0.3825
Tom Satriano,39,3,13,21,0,21,23.0,59,165,0.236,0.684
Tom Seaver,165,12,72,82,1,90,383.0,536,1052,0.1365625,0.3874375
Tom Shearn,0,0,0,0,0,1,4.0,7,11,0.0,0.083
Tom Shopay,50,1,14,36,9,23,36.0,217,234,0.20620000000000002,0.5218
Tom Silverio,3,0,0,2,0,2,9.0,31,30,0.16666666666666666,0.3726666666666667
Tom Spencer,12,0,4,3,0,2,9.0,29,65,0.185,0.409
Tom Tellmann,1,0,1,0,0,0,5.0,7,9,0.0625,0.125
Tom Thobe,0,0,0,0,0,0,0.0,7,1,0.0,0.0
Tom Timmermann,7,0,1,5,0,4,45.0,194,79,0.04725,0.12425
Tom Tischinski,12,1,4,6,0,10,10.0,45,69,0.163,0.5025
Tom Underwood,18,0,16,10,0,10,45.0,109,154,0.088,0.22999999999999998
Tom Urbani,16,1,4,6,0,7,18.0,67,65,0.23025,0.57325
Tom Veryzer,687,14,231,250,9,143,329.0,996,2848,0.246,0.5958333333333333
Tom Waddell,0,0,0,0,0,0,0.0,49,0,0.0,0.0
Tom Walker,5,0,0,0,0,2,8.0,154,33,0.11760000000000001,0.28200000000000003
Tom Wiedenbauer,4,0,2,0,0,0,2.0,4,6,0.667,1.5
Tom Wieghaus,0,0,1,0,0,1,3.0,8,11,0.0,0.02766666666666667
Tom Wilhelmsen,0,0,0,0,0,0,1.0,298,1,0.0,0.0
Tom Wilson,140,15,76,75,0,58,169.0,214,554,0.218,0.64125
Tomas De La Rosa,24,2,10,8,2,8,14.0,49,83,0.20033333333333334,0.49533333333333335
Tomas Perez,455,24,180,205,6,131,341.0,789,1896,0.22524999999999998,0.5849166666666666
Tommie Aaron,25,2,10,7,0,6,15.0,69,116,0.216,0.5535
Tommie Agee,458,62,194,255,70,179,400.0,490,1749,0.255,0.74325
Tommie Reynolds,72,5,27,28,1,25,41.0,176,336,0.212,0.5823333333333334
Tommie Sisk,1,0,0,0,0,0,2.0,17,4,0.25,0.5
Tommy Bianco,6,0,0,6,0,3,7.0,18,34,0.176,0.469
Tommy Boggs,25,1,8,7,0,1,37.0,91,148,0.1605,0.5185
Tommy Cruz,0,0,0,2,0,0,0.0,7,2,0.0,0.0
Tommy Davis,772,36,375,263,38,142,261.0,750,2664,0.272125,0.6437499999999998
Tommy Dean,43,2,14,20,3,15,42.0,102,228,0.168,0.4255
Tommy Edman,623,59,242,363,112,162,429.0,633,2366,0.261,0.7284999999999999
Tommy Everidge,19,2,7,13,0,8,17.0,24,85,0.224,0.667
Tommy Field,25,2,8,14,1,7,38.0,47,117,0.155,0.46824999999999994
Tommy Greene,47,4,19,20,0,12,59.0,122,213,0.2,0.530875
Tommy Gregg,214,20,88,86,14,71,158.0,446,880,0.241,0.6377777777777777
Tommy Hanson,11,0,5,5,0,5,92.0,108,187,0.0555,0.13349999999999998
Tommy Harper,843,87,323,492,200,369,537.0,884,3185,0.2591428571428572,0.7262857142857142
Tommy Helms,761,20,300,225,15,150,161.0,884,2928,0.2535,0.6205
Tommy Hinzo,68,3,21,35,10,12,53.0,85,274,0.1325,0.3795
Tommy Hottovy,0,0,0,0,0,0,0.0,8,0,0.0,0.0
Tommy Hunter,1,0,0,1,0,0,2.0,430,5,0.08333333333333333,0.16666666666666666
Tommy John,87,1,31,21,0,19,105.0,295,550,0.1371111111111111,0.3178888888888889
Tommy Joseph,200,43,116,98,2,55,204.0,249,810,0.2485,0.7669999999999999
Tommy Kahnle,0,0,0,0,0,0,1.0,284,3,0.0,0.0
Tommy La Stella,462,40,206,209,5,175,220.0,679,1737,0.2599,0.7192000000000001
Tommy Layne,0,0,0,0,0,0,0.0,153,0,0.0,0.0
Tommy Manzella,59,1,21,17,0,13,75.0,90,263,0.21250000000000002,0.4655
Tommy Medica,76,12,37,40,6,24,98.0,121,309,0.2615,0.7615
Tommy Milone,7,1,7,4,0,3,14.0,169,45,0.192,0.4714444444444445
Tommy Moore,2,0,0,3,0,0,2.0,31,5,0.2776666666666667,0.5553333333333333
Tommy Murphy,23,1,8,14,4,5,30.0,68,108,0.20650000000000002,0.5245
Tommy Nance,0,0,0,0,0,0,1.0,27,2,0.0,0.0
Tommy Pham,985,139,470,608,126,489,1028.0,1121,3823,0.2298181818181818,0.6953636363636364
Tommy Phelps,1,0,0,1,0,2,5.0,75,17,0.030333333333333334,0.10733333333333334
Tommy Sandt,14,0,3,6,0,7,9.0,42,67,0.1045,0.254
Tommy Shields,6,0,1,4,0,2,10.0,22,34,0.088,0.214
Tommy Smith,63,4,21,28,9,11,24.0,121,271,0.19619999999999999,0.49660000000000004
Tommy Toms,0,0,0,0,0,0,0.0,18,0,0.0,0.0
Tommy Watkins,10,0,0,2,1,4,4.0,9,28,0.357,0.795
Tomo Ohka,33,0,15,8,1,10,95.0,181,240,0.10350000000000001,0.23612500000000003
Tomás Nido,184,17,86,89,1,39,245.0,323,877,0.216,0.57675
Tomás Telis,58,1,24,25,0,7,34.0,122,252,0.2326,0.5796
Tony Abreu,147,6,60,61,2,22,116.0,224,579,0.21316666666666664,0.5603333333333332
Tony Alvarez,16,2,10,11,1,7,12.0,38,64,0.2595,0.755
Tony Armas,1328,251,825,620,18,264,1300.0,1618,5432,0.18075,0.4899166666666666
Tony Barnette,0,0,0,0,0,0,0.0,127,0,0.0,0.0
Tony Barron,54,4,24,22,0,12,39.0,58,190,0.143,0.3765
Tony Batista,1146,221,718,625,47,287,790.0,1309,4568,0.2512727272727273,0.7404545454545454
Tony Bernazard,970,75,391,523,113,428,606.0,1071,3700,0.2534,0.6975999999999999
Tony Blanco,11,1,7,7,1,2,19.0,56,62,0.177,0.489
Tony Brewer,4,1,4,3,1,4,9.0,24,37,0.108,0.411
Tony Brizzolara,1,0,1,1,0,2,16.0,44,42,0.009666666666666667,0.036
Tony Campana,109,1,16,70,66,27,103.0,257,438,0.24275000000000002,0.5772499999999999
Tony Castillo,2,0,1,1,0,1,8.0,175,21,0.04466666666666667,0.10716666666666667
Tony Cingrani,10,0,2,6,1,1,16.0,217,52,0.05614285714285715,0.2602857142857143
Tony Clark,1188,251,824,629,6,527,1209.0,1559,4532,0.24753333333333333,0.7862666666666667
Tony Cloninger,17,2,4,8,0,0,28.0,75,77,0.15733333333333333,0.38366666666666666
Tony Cogan,0,0,0,0,0,0,0.0,39,0,0.0,0.0
Tony Conigliaro,215,42,140,120,8,74,154.0,241,883,0.20366666666666666,0.6363333333333333
Tony Cruz,134,6,61,51,0,32,131.0,272,621,0.18242857142857144,0.4817142857142857
Tony Eusebio,479,30,241,180,1,182,324.0,598,1739,0.25577777777777777,0.6998888888888889
Tony Fernandez,2276,94,844,1057,246,690,784.0,2158,7911,0.28552941176470586,0.7391176470588235
Tony Fiore,0,0,0,0,0,0,2.0,69,4,0.0,0.0
Tony Fossas,0,0,0,0,0,0,0.0,253,1,0.0,0.0
Tony Ghelfi,1,0,0,0,0,0,0.0,3,4,0.25,0.5
Tony Giarratano,6,1,4,4,1,5,7.0,15,42,0.143,0.448
Tony Gonsolin,7,0,1,4,0,1,12.0,37,30,0.16133333333333333,0.35766666666666663
